rank,file,passed,overall_score,arm_overall_score,arm_imperative_quality,arm_weak_phrase_quality,arm_optionality_quality,arm_continuance_quality,arm_directive_quality,arm_incomplete_quality,arm_ambiguity_quality,completeness_metric,structure_compliance_metric,clarity_metric,weak_phrase_metric,optionality_metric,atomicity_metric,consistency_metric,verifiability_metric,requirement_uniqueness_metric,requirement_id_coverage_metric,readability_metric,requirement_density_metric,ieee_section_coverage,fr_coverage,nfr_coverage,clarity_readability,ambiguity_quality,extraction_cleanliness,content_adequacy,duplication_quality,heading_structure,numeric_specificity,lexical_richness
14,final_extracted_srs_ieee830\final_extracted_srs_ieee830\113_SmartLicense.txt,True,1.0,0.961,1.0,0.826,1.0,0.957,1.0,1.0,0.957,0.667,0.8,0.997,0.997,1.0,0.957,1.0,0.87,1.0,1.0,1.0,0.5,0.667,0.7,0.65,1.0,0.997,0.985,0.45,0.97,0.8,0.8,1.0
15,final_extracted_srs_ieee830\final_extracted_srs_ieee830\114_RentEase.txt,True,1.0,0.962,0.857,0.98,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.989,0.999,1.0,0.98,0.833,0.776,1.0,0.959,1.0,0.25,0.667,0.8,0.72,1.0,0.989,0.989,0.65,0.978,0.8,0.714,1.0
16,final_extracted_srs_ieee830\final_extracted_srs_ieee830\116_VoiceArchi.txt,True,1.0,0.968,0.9,0.95,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.993,0.997,1.0,1.0,1.0,0.35,1.0,1.0,1.0,0.75,0.667,0.8,0.59,1.0,0.993,0.982,0.45,0.964,0.8,1.0,1.0
17,final_extracted_srs_ieee830\final_extracted_srs_ieee830\117_SparkQuest.txt,True,1.0,0.98,0.974,0.974,0.949,1.0,1.0,1.0,0.974,0.667,0.8,0.998,1.0,1.0,0.974,1.0,0.974,1.0,0.974,1.0,0.5,0.667,0.7,0.65,1.0,0.998,1.0,0.65,0.964,0.8,1.0,1.0
18,final_extracted_srs_ieee830\final_extracted_srs_ieee830\119_RoadInSight.txt,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.998,1.0,1.0,1.0,0.895,1.0,1.0,1.0,0.75,0.667,0.7,0.53,0.99,1.0,1.0,0.45,0.966,0.8,0.833,1.0
19,final_extracted_srs_ieee830\final_extracted_srs_ieee830\121_AdvertEase.txt,True,1.0,0.927,0.87,0.761,1.0,1.0,1.0,1.0,0.978,0.667,0.8,0.996,0.999,1.0,1.0,0.833,0.761,1.0,1.0,1.0,0.25,0.667,0.8,0.65,0.994,0.996,0.989,0.65,0.979,0.8,0.667,1.0
20,final_extracted_srs_ieee830\final_extracted_srs_ieee830\128_AutoEngage.txt,True,1.0,0.905,0.708,0.875,0.958,1.0,1.0,1.0,1.0,0.667,0.8,0.986,0.997,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.75,0.667,0.9,0.59,0.991,0.986,0.985,0.65,0.97,0.8,0.75,1.0
21,final_extracted_srs_ieee830\final_extracted_srs_ieee830\131_Salon360.txt,True,1.0,0.96,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.99,0.993,1.0,0.95,1.0,0.7,1.0,1.0,1.0,0.75,0.667,0.8,0.79,0.988,0.99,1.0,0.45,0.966,0.8,1.0,1.0
22,final_extracted_srs_ieee830\final_extracted_srs_ieee830\133_KisanRabta.txt,True,1.0,0.886,0.645,0.903,0.968,1.0,1.0,1.0,0.935,0.667,0.8,0.986,0.997,0.968,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.667,0.7,0.53,0.983,0.986,1.0,0.65,0.972,0.8,1.0,1.0
23,final_extracted_srs_ieee830\final_extracted_srs_ieee830\134_PenTrack.txt,True,1.0,0.906,0.783,0.739,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.986,0.996,1.0,1.0,1.0,0.348,1.0,1.0,1.0,0.75,0.667,0.7,0.65,0.99,0.986,1.0,0.65,0.968,0.8,0.6,1.0
24,final_extracted_srs_ieee830\final_extracted_srs_ieee830\13_ProbeXpert.txt,True,1.0,0.968,0.92,0.92,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.997,1.0,1.0,1.0,0.72,1.0,0.96,1.0,0.5,0.667,0.7,0.59,0.976,0.997,0.971,0.45,0.971,0.8,0.6,1.0
25,final_extracted_srs_ieee830\final_extracted_srs_ieee830\147_SmoothFlow.txt,True,1.0,0.884,0.656,0.844,0.969,1.0,1.0,1.0,0.969,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.719,1.0,0.938,1.0,0.5,0.667,0.7,0.79,0.992,0.998,1.0,0.65,0.972,0.8,1.0,1.0
26,final_extracted_srs_ieee830\final_extracted_srs_ieee830\14_SmartGuard.txt,True,1.0,0.897,0.571,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.893,1.0,0.964,1.0,0.25,0.667,0.7,0.59,0.99,1.0,1.0,0.45,0.973,0.8,1.0,1.0
27,final_extracted_srs_ieee830\final_extracted_srs_ieee830\151_Q-Sec.txt,True,1.0,0.988,0.96,1.0,0.98,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,0.98,1.0,0.833,0.84,1.0,0.96,1.0,0.25,0.667,0.8,0.59,0.988,0.999,1.0,0.65,0.978,0.8,1.0,0.99
28,final_extracted_srs_ieee830\final_extracted_srs_ieee830\152_CryptoTradeBot_Research.txt,True,1.0,0.929,1.0,0.593,1.0,1.0,1.0,1.0,0.963,0.667,0.8,0.99,0.992,1.0,1.0,1.0,0.481,1.0,1.0,1.0,0.75,0.667,0.7,0.72,0.981,0.99,1.0,0.65,0.974,0.8,0.545,1.0
29,final_extracted_srs_ieee830\final_extracted_srs_ieee830\153_PulseViz.txt,True,1.0,0.961,0.962,0.885,1.0,1.0,1.0,1.0,0.923,0.667,0.8,0.993,0.995,1.0,0.962,1.0,0.846,1.0,1.0,1.0,0.75,0.667,0.7,0.59,0.979,0.993,0.985,0.65,0.97,0.8,0.6,1.0
30,final_extracted_srs_ieee830\final_extracted_srs_ieee830\154_VirtuLectra.txt,True,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.667,0.8,0.999,0.999,1.0,1.0,1.0,0.825,1.0,1.0,1.0,0.25,0.667,0.7,0.65,0.991,0.999,0.992,0.85,0.983,0.8,0.667,1.0
31,final_extracted_srs_ieee830\final_extracted_srs_ieee830\155_unHinged.txt,True,1.0,0.955,0.9,0.967,0.867,1.0,1.0,1.0,1.0,0.667,0.8,0.998,1.0,0.967,0.967,1.0,0.9,1.0,1.0,1.0,0.25,0.667,0.8,0.27,0.973,0.998,0.972,0.45,0.972,0.8,1.0,1.0
32,final_extracted_srs_ieee830\final_extracted_srs_ieee830\156_Traffix.txt,True,1.0,0.96,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.997,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.75,0.667,0.7,0.66,0.963,0.998,1.0,0.45,0.967,0.8,1.0,1.0
33,final_extracted_srs_ieee830\final_extracted_srs_ieee830\157_IntraSec.txt,True,1.0,0.98,1.0,0.903,1.0,1.0,1.0,1.0,0.968,0.667,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.667,0.7,0.65,0.973,1.0,0.973,0.65,0.973,0.8,0.571,1.0
34,final_extracted_srs_ieee830\final_extracted_srs_ieee830\158_SnapShop.txt,True,1.0,0.885,0.76,0.64,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.99,0.999,1.0,0.92,1.0,0.68,0.997,0.92,1.0,0.5,0.667,0.8,0.4,0.967,0.99,1.0,0.45,0.968,0.8,1.0,1.0
35,final_extracted_srs_ieee830\final_extracted_srs_ieee830\159_VocalCraft.txt,True,1.0,0.967,0.875,1.0,0.975,1.0,1.0,1.0,1.0,0.667,0.8,0.998,1.0,0.975,0.95,1.0,0.7,1.0,0.975,1.0,0.5,0.667,0.8,0.72,0.985,0.998,0.976,0.65,0.976,0.8,0.833,1.0
36,final_extracted_srs_ieee830\final_extracted_srs_ieee830\15_SprintCraft.txt,True,1.0,0.945,0.844,0.938,1.0,0.969,1.0,1.0,0.969,0.667,0.8,0.994,0.994,1.0,1.0,1.0,0.781,1.0,1.0,1.0,0.25,0.667,0.7,0.72,0.991,0.994,1.0,0.45,0.977,0.8,1.0,1.0
37,final_extracted_srs_ieee830\final_extracted_srs_ieee830\160_OptiFit.txt,True,1.0,0.99,0.958,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,1.0,1.0,1.0,0.792,1.0,1.0,1.0,0.75,0.667,0.7,0.72,0.968,0.999,1.0,0.65,0.971,0.8,1.0,1.0
38,final_extracted_srs_ieee830\final_extracted_srs_ieee830\161_InsuraSync.txt,True,1.0,0.951,0.853,0.912,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.99,0.999,1.0,1.0,1.0,0.912,1.0,1.0,1.0,0.5,0.667,0.8,0.59,0.974,0.99,1.0,0.65,0.976,0.8,0.75,1.0
39,final_extracted_srs_ieee830\final_extracted_srs_ieee830\162_Personix.txt,True,1.0,0.984,0.974,0.974,0.949,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.999,0.949,0.974,1.0,0.795,1.0,0.974,1.0,0.5,0.667,0.8,0.65,0.985,0.997,0.988,0.65,0.976,0.8,0.8,1.0
40,final_extracted_srs_ieee830\final_extracted_srs_ieee830\163_PromoHive.txt,True,1.0,0.944,1.0,0.719,0.906,1.0,1.0,1.0,1.0,0.667,0.8,0.993,0.998,1.0,0.969,1.0,0.781,1.0,1.0,1.0,0.5,0.667,0.7,0.72,0.991,0.993,1.0,0.65,0.975,0.8,0.667,1.0
41,final_extracted_srs_ieee830\final_extracted_srs_ieee830\164_BeAWarden.txt,True,1.0,0.976,0.957,0.913,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.998,1.0,1.0,1.0,0.783,1.0,1.0,1.0,0.5,0.667,0.8,0.59,0.977,0.997,1.0,0.45,0.967,0.8,1.0,1.0
42,final_extracted_srs_ieee830\final_extracted_srs_ieee830\165_EmpoweredAI.txt,True,1.0,0.976,1.0,0.889,0.944,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.778,1.0,1.0,1.0,0.75,0.667,0.7,0.59,0.987,0.998,1.0,0.45,0.964,0.8,1.0,1.0
43,final_extracted_srs_ieee830\final_extracted_srs_ieee830\166_RTSLConverter.txt,True,1.0,0.985,0.971,0.971,0.971,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.999,0.971,1.0,0.833,0.771,1.0,0.971,1.0,0.25,0.667,0.7,0.59,0.992,0.997,1.0,0.65,0.976,0.8,0.5,1.0
44,final_extracted_srs_ieee830\final_extracted_srs_ieee830\167_Intelli_Datum.txt,True,1.0,0.935,0.902,0.756,0.976,1.0,1.0,1.0,1.0,0.667,0.8,0.988,0.991,1.0,1.0,1.0,0.829,1.0,1.0,1.0,0.5,0.667,0.8,0.53,0.986,0.988,1.0,0.65,0.978,0.8,1.0,1.0
45,final_extracted_srs_ieee830\final_extracted_srs_ieee830\168_QuranEcho.txt,True,1.0,0.92,0.733,0.9,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,1.0,0.967,1.0,0.733,1.0,1.0,1.0,0.5,0.667,0.7,0.59,0.964,0.999,1.0,0.65,0.973,0.8,1.0,1.0
46,final_extracted_srs_ieee830\final_extracted_srs_ieee830\169_CyberQuest.txt,True,1.0,0.981,0.965,0.947,0.982,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.999,0.965,0.982,1.0,0.842,1.0,0.965,1.0,0.25,0.667,0.8,0.65,0.989,0.998,1.0,0.85,0.981,0.8,0.706,1.0
47,final_extracted_srs_ieee830\final_extracted_srs_ieee830\16_Sehat-e-Tafseel.txt,True,1.0,0.939,0.745,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,1.0,1.0,0.982,1.0,0.873,1.0,1.0,1.0,0.25,0.667,0.7,0.59,0.982,0.998,1.0,0.65,0.98,0.8,0.75,1.0
48,final_extracted_srs_ieee830\final_extracted_srs_ieee830\171_HifzQuran.txt,True,1.0,0.964,1.0,0.833,0.967,1.0,1.0,1.0,0.967,0.667,0.8,0.993,0.999,0.967,0.967,1.0,0.7,1.0,1.0,1.0,0.5,0.667,0.7,0.72,0.991,0.993,0.987,0.65,0.973,0.8,0.7,1.0
49,final_extracted_srs_ieee830\final_extracted_srs_ieee830\172_GlaciArc.txt,True,1.0,0.912,0.875,0.708,0.958,1.0,1.0,1.0,0.958,0.667,0.8,0.995,0.995,1.0,0.958,1.0,0.792,1.0,1.0,1.0,0.5,0.667,0.8,0.65,0.99,0.995,0.985,0.45,0.969,0.8,0.571,1.0
50,final_extracted_srs_ieee830\final_extracted_srs_ieee830\173_TheWeatherMind.txt,True,1.0,0.965,0.949,0.923,0.974,1.0,1.0,1.0,0.949,0.667,0.8,0.995,0.998,1.0,1.0,1.0,0.718,1.0,1.0,1.0,0.5,0.667,0.7,0.66,0.987,0.995,0.988,0.65,0.976,0.8,0.667,1.0
51,final_extracted_srs_ieee830\final_extracted_srs_ieee830\175_Decentra(Pixel).txt,True,1.0,0.903,0.765,0.824,0.971,1.0,1.0,1.0,0.941,0.667,0.8,0.985,0.998,1.0,0.971,1.0,0.706,1.0,0.971,1.0,0.5,0.667,0.7,0.65,0.983,0.985,1.0,0.65,0.973,0.8,0.8,1.0
52,final_extracted_srs_ieee830\final_extracted_srs_ieee830\176_BugLens.txt,True,1.0,0.975,0.955,0.955,1.0,1.0,1.0,1.0,0.955,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.864,1.0,1.0,1.0,0.75,0.667,0.7,0.46,0.966,0.998,1.0,0.45,0.967,0.8,1.0,1.0
53,final_extracted_srs_ieee830\final_extracted_srs_ieee830\177_Intelli_Datum.txt,True,1.0,0.935,0.902,0.756,0.976,1.0,1.0,1.0,1.0,0.667,0.8,0.988,0.991,1.0,1.0,1.0,0.829,1.0,1.0,1.0,0.5,0.667,0.8,0.53,0.986,0.988,1.0,0.65,0.978,0.8,1.0,1.0
54,final_extracted_srs_ieee830\final_extracted_srs_ieee830\178_QuranEcho.txt,True,1.0,0.92,0.733,0.9,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,1.0,0.967,1.0,0.733,1.0,1.0,1.0,0.5,0.667,0.7,0.59,0.964,0.999,1.0,0.65,0.973,0.8,1.0,1.0
55,final_extracted_srs_ieee830\final_extracted_srs_ieee830\179_CyberQuest.txt,True,1.0,0.981,0.965,0.947,0.982,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.999,0.965,0.982,1.0,0.842,1.0,0.965,1.0,0.25,0.667,0.8,0.65,0.989,0.998,1.0,0.85,0.981,0.8,0.706,1.0
56,final_extracted_srs_ieee830\final_extracted_srs_ieee830\17_InsightWire.txt,True,1.0,0.907,0.629,1.0,1.0,1.0,1.0,1.0,0.971,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.743,1.0,0.971,1.0,0.25,0.667,0.7,0.86,0.982,1.0,1.0,0.65,0.976,0.8,1.0,1.0
57,final_extracted_srs_ieee830\final_extracted_srs_ieee830\181_HifzQuran.txt,True,1.0,0.964,1.0,0.833,0.967,1.0,1.0,1.0,0.967,0.667,0.8,0.993,0.999,0.967,0.967,1.0,0.7,1.0,1.0,1.0,0.5,0.667,0.7,0.72,0.991,0.993,0.987,0.65,0.973,0.8,0.7,1.0
58,final_extracted_srs_ieee830\final_extracted_srs_ieee830\182_GlaciArc.txt,True,1.0,0.912,0.875,0.708,0.958,1.0,1.0,1.0,0.958,0.667,0.8,0.995,0.995,1.0,0.958,1.0,0.792,1.0,1.0,1.0,0.5,0.667,0.8,0.65,0.99,0.995,0.985,0.45,0.969,0.8,0.571,1.0
59,final_extracted_srs_ieee830\final_extracted_srs_ieee830\183_TheWeatherMind.txt,True,1.0,0.965,0.949,0.923,0.974,1.0,1.0,1.0,0.949,0.667,0.8,0.995,0.998,1.0,1.0,1.0,0.718,1.0,1.0,1.0,0.5,0.667,0.7,0.66,0.987,0.995,0.988,0.65,0.976,0.8,0.667,1.0
60,final_extracted_srs_ieee830\final_extracted_srs_ieee830\185_Decentra(Pixel).txt,True,1.0,0.903,0.765,0.824,0.971,1.0,1.0,1.0,0.941,0.667,0.8,0.985,0.998,1.0,0.971,1.0,0.706,1.0,0.971,1.0,0.5,0.667,0.7,0.65,0.983,0.985,1.0,0.65,0.973,0.8,0.8,1.0
61,final_extracted_srs_ieee830\final_extracted_srs_ieee830\186_Digi-Guard.txt,True,1.0,0.988,0.96,1.0,0.98,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,0.98,1.0,0.833,0.84,1.0,0.96,1.0,0.25,0.667,0.8,0.59,0.988,0.999,1.0,0.65,0.978,0.8,1.0,0.99
62,final_extracted_srs_ieee830\final_extracted_srs_ieee830\187_IntraSec.txt,True,1.0,0.98,1.0,0.903,1.0,1.0,1.0,1.0,0.968,0.667,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.667,0.7,0.65,0.973,1.0,0.973,0.65,0.973,0.8,0.571,1.0
63,final_extracted_srs_ieee830\final_extracted_srs_ieee830\187_WorkSync_Research.txt,True,1.0,0.984,1.0,0.902,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.995,0.999,1.0,0.98,0.833,0.706,1.0,1.0,1.0,0.5,0.667,0.7,0.86,0.984,0.995,1.0,0.85,0.981,0.8,0.727,1.0
64,final_extracted_srs_ieee830\final_extracted_srs_ieee830\188_Safar.txt,True,1.0,0.72,0.0,0.962,0.717,1.0,1.0,1.0,1.0,0.667,0.8,0.979,1.0,1.0,1.0,1.0,0.792,1.0,1.0,1.0,0.25,0.667,0.6,0.79,0.994,0.979,1.0,0.65,0.979,0.8,0.8,1.0
65,final_extracted_srs_ieee830\final_extracted_srs_ieee830\18_GradeMate.txt,True,1.0,0.95,0.812,0.969,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.996,0.996,1.0,1.0,1.0,0.719,1.0,1.0,1.0,0.25,0.667,0.7,0.65,0.991,0.996,1.0,0.45,0.974,0.8,1.0,1.0
66,final_extracted_srs_ieee830\final_extracted_srs_ieee830\192_EcoDrive.txt,True,1.0,0.994,1.0,0.966,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,0.998,1.0,1.0,1.0,0.759,1.0,1.0,1.0,0.75,0.667,0.7,0.65,0.982,0.999,1.0,0.65,0.971,0.8,0.833,1.0
67,final_extracted_srs_ieee830\final_extracted_srs_ieee830\196_ArtiFlo.txt,True,1.0,0.969,0.978,0.87,0.957,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,0.833,0.652,1.0,0.978,1.0,0.5,0.667,0.7,0.72,0.982,1.0,1.0,0.65,0.977,0.8,0.636,1.0
68,final_extracted_srs_ieee830\final_extracted_srs_ieee830\199_HaloSight.txt,True,1.0,0.983,0.981,0.925,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.997,1.0,0.981,1.0,0.283,1.0,0.981,1.0,0.5,0.667,0.7,0.79,0.989,0.998,1.0,0.85,0.98,0.8,0.727,0.965
69,final_extracted_srs_ieee830\final_extracted_srs_ieee830\19_DataTails.txt,True,1.0,0.938,0.769,0.962,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,0.997,1.0,1.0,1.0,0.885,1.0,1.0,1.0,0.5,0.667,0.7,0.65,0.989,0.999,0.973,0.45,0.973,0.8,1.0,1.0
70,final_extracted_srs_ieee830\final_extracted_srs_ieee830\1_ArchiVisionAI.txt,True,1.0,0.875,0.583,0.875,0.958,1.0,1.0,1.0,1.0,0.667,0.8,0.995,0.997,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.5,0.667,0.7,0.66,0.977,0.995,1.0,0.45,0.972,0.8,1.0,1.0
71,final_extracted_srs_ieee830\final_extracted_srs_ieee830\201_TreeVerse.txt,True,1.0,0.948,0.808,0.962,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.993,1.0,1.0,0.962,1.0,0.308,1.0,1.0,1.0,0.5,0.667,0.8,0.59,0.991,0.993,1.0,0.45,0.971,0.8,1.0,1.0
72,final_extracted_srs_ieee830\final_extracted_srs_ieee830\20_HumRahi.txt,True,1.0,0.934,0.744,0.974,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.996,1.0,0.974,1.0,1.0,1.0,1.0,1.0,0.25,0.667,0.7,0.72,0.984,0.998,0.989,0.65,0.979,0.8,0.857,1.0
73,final_extracted_srs_ieee830\final_extracted_srs_ieee830\21_ApnaBudget.txt,True,1.0,0.912,0.635,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.999,1.0,0.984,1.0,0.825,0.999,1.0,1.0,0.25,0.667,0.7,0.72,0.989,1.0,1.0,0.65,0.981,0.8,0.571,1.0
74,final_extracted_srs_ieee830\final_extracted_srs_ieee830\22_RefactoAi.txt,True,1.0,0.938,0.778,0.944,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.998,1.0,1.0,1.0,0.833,1.0,1.0,1.0,0.5,0.667,0.7,0.72,0.986,1.0,1.0,0.45,0.966,0.8,0.667,1.0
75,final_extracted_srs_ieee830\final_extracted_srs_ieee830\24_Emit.txt,True,1.0,0.964,0.859,1.0,1.0,1.0,1.0,1.0,0.984,0.667,0.8,1.0,0.999,1.0,1.0,1.0,0.906,1.0,1.0,1.0,0.25,0.667,0.7,0.72,0.995,1.0,0.991,0.65,0.982,0.8,0.643,1.0
76,final_extracted_srs_ieee830\final_extracted_srs_ieee830\27_NoduleNet.txt,True,1.0,0.945,0.773,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,1.0,1.0,1.0,1.0,0.818,1.0,0.955,1.0,0.5,0.667,0.7,0.52,0.959,0.997,1.0,0.45,0.971,0.8,1.0,1.0
77,final_extracted_srs_ieee830\final_extracted_srs_ieee830\29_Scholarly.txt,True,1.0,0.912,0.649,1.0,1.0,1.0,1.0,1.0,0.973,0.667,0.8,0.997,1.0,1.0,1.0,1.0,0.757,1.0,1.0,1.0,0.25,0.667,0.7,0.66,0.992,0.997,0.987,0.45,0.974,0.8,1.0,1.0
